0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
19~22,4,39432~62419,11,9,2,3,0,4,1,0,0,35~40,39,1.0
19~22,4,39432~62419,11,9,2,3,0,4,1,0,0,35~40,39,1.0
19~22,4,39432~62419,11,9,2,3,0,4,1,0,0,35~40,39,1.0
18~22,4,83704~115443,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
18~22,4,83704~115443,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
18~22,4,83704~115443,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
18~22,4,83704~115443,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
23~24,4,23438~60668,0~11,6~9,2,3,0,4,1,0,0,40,32~39,1.0
23~24,4,23438~60668,0~11,6~9,2,3,0,4,1,0,0,40,32~39,1.0
23~24,4,23438~60668,0~11,6~9,2,3,0,4,1,0,0,40,32~39,1.0
23~24,1~4,91189~119156,11,9,2,1~3,0,4,1,0,0,40,39,1.0
23~24,1~4,91189~119156,11,9,2,1~3,0,4,1,0,0,40,39,1.0
23~24,1~4,91189~119156,11,9,2,1~3,0,4,1,0,0,40,39,1.0
23~24,1~4,91189~119156,11,9,2,1~3,0,4,1,0,0,40,39,1.0
25~26,4,49092~68302,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
25~26,4,49092~68302,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
25~26,4,49092~68302,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
25~26,4,49092~68302,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
25~26,4,49092~68302,1~11,7~9,2,3,0,4,1,0,0,35~40,39,1.0
25~26,4,72887~109009,1~6,5~7,2,3,0,1~4,1,0,0,20~40,30~39,1.0
25~26,4,72887~109009,1~6,5~7,2,3,0,1~4,1,0,0,20~40,30~39,1.0
25~26,4,72887~109009,1~6,5~7,2,3,0,1~4,1,0,0,20~40,30~39,0.0
25~26,2~4,88449~116991,11,9,2,3,0,4,1,0,0,36~40,39,0.0
25~26,2~4,88449~116991,11,9,2,3,0,4,1,0,0,36~40,39,1.0
25~26,2~4,88449~116991,11,9,2,3,0,4,1,0,0,36~40,39,1.0
21~22,4,131230~137510,11,9,2,3,0,4,1,0,0,20~37,11~39,1.0
21~22,4,131230~137510,11,9,2,3,0,4,1,0,0,20~37,11~39,1.0
21~22,4,131230~137510,11,9,2,3,0,4,1,0,0,20~37,11~39,1.0
20~22,4,157595~173736,11,9,2,3,0,4,1,0,0,40,39,1.0
20~22,4,157595~173736,11,9,2,3,0,4,1,0,0,40,39,1.0
20~22,4,157595~173736,11,9,2,3,0,4,1,0,0,40,39,1.0
23,4,140414~179413,11,9,2,1~3,0,4,1,0,0,40,39,1.0
23,4,140414~179413,11,9,2,1~3,0,4,1,0,0,40,39,1.0
23,4,140414~179413,11,9,2,1~3,0,4,1,0,0,40,39,1.0
23,4,140414~179413,11,9,2,1~3,0,4,1,0,0,40,39,1.0
24,4,121313~176389,11,9,2,1~3,0,2~4,1,0,0,40,39,1.0
24,4,121313~176389,11,9,2,1~3,0,2~4,1,0,0,40,39,1.0
24,4,121313~176389,11,9,2,1~3,0,2~4,1,0,0,40,39,1.0
24,4,121313~176389,11,9,2,1~3,0,2~4,1,0,0,40,39,1.0
24,4,121313~176389,11,9,2,1~3,0,2~4,1,0,0,40,39,1.0
25~26,2~4,121559~162687,2~11,8~9,2,3,0,4,1,0,0,40,31~39,0.0
25~26,2~4,121559~162687,2~11,8~9,2,3,0,4,1,0,0,40,31~39,1.0
25~26,2~4,121559~162687,2~11,8~9,2,3,0,4,1,0,0,40,31~39,1.0
25~26,2~4,121559~162687,2~11,8~9,2,3,0,4,1,0,0,40,31~39,1.0
25~26,2~4,121559~162687,2~11,8~9,2,3,0,4,1,0,0,40,31~39,1.0
25~26,4,168236~179138,11,9,2,1~3,0,4,1,0,0,40,39,0.0
25~26,4,168236~179138,11,9,2,1~3,0,4,1,0,0,40,39,1.0
25~26,4,168236~179138,11,9,2,1~3,0,4,1,0,0,40,39,1.0
25~26,4,168236~179138,11,9,2,1~3,0,4,1,0,0,40,39,1.0
25~26,4,168236~179138,11,9,2,1~3,0,4,1,0,0,40,39,1.0
27~28,4,29261~39232,11,9,1~2,1~3,0,4,1,0,0,40,39,1.0
27~28,4,29261~39232,11,9,1~2,1~3,0,4,1,0,0,40,39,0.0
27~28,4,29261~39232,11,9,1~2,1~3,0,4,1,0,0,40,39,1.0
27~28,4,64307~84977,5~11,4~9,2,3,0,4,1,0,0,40,39,0.0
27~28,4,64307~84977,5~11,4~9,2,3,0,4,1,0,0,40,39,1.0
27~28,4,64307~84977,5~11,4~9,2,3,0,4,1,0,0,40,39,0.0
27~28,4,64307~84977,5~11,4~9,2,3,0,4,1,0,0,40,39,1.0
27~28,1~4,90787~110931,11,9,2,1,0,2~4,1,0,0,40,39,1.0
27~28,1~4,90787~110931,11,9,2,1,0,2~4,1,0,0,40,39,1.0
27~28,1~4,90787~110931,11,9,2,1,0,2~4,1,0,0,40,39,1.0
27~28,1~4,90787~110931,11,9,2,1,0,2~4,1,0,0,40,39,1.0
27~28,4,92262~116207,1~11,5~9,2,3,0,4,1,0,0,32~40,39,1.0
27~28,4,92262~116207,1~11,5~9,2,3,0,4,1,0,0,32~40,39,1.0
27~28,4,92262~116207,1~11,5~9,2,3,0,4,1,0,0,32~40,39,1.0
27~28,4,92262~116207,1~11,5~9,2,3,0,4,1,0,0,32~40,39,1.0
27~28,4,120155~130856,0~11,4~9,2,1~3,0,4,1,0,0,30~39,39,1.0
27~28,4,120155~130856,0~11,4~9,2,1~3,0,4,1,0,0,30~39,39,1.0
27~28,4,120155~130856,0~11,4~9,2,1~3,0,4,1,0,0,30~39,39,1.0
27~28,4,119793~152951,11,9,2,3,0,4,1,0,0,40,32~39,1.0
27~28,4,119793~152951,11,9,2,3,0,4,1,0,0,40,32~39,1.0
27~28,4,119793~152951,11,9,2,3,0,4,1,0,0,40,32~39,1.0
27~28,4,119793~152951,11,9,2,3,0,4,1,0,0,40,32~39,0.0
28,2~4,153869~160731,1~11,5~9,2,3,0,2~4,1,0,0,40,31~39,0.0
28,2~4,153869~160731,1~11,5~9,2,3,0,2~4,1,0,0,40,31~39,1.0
28,2~4,153869~160731,1~11,5~9,2,3,0,2~4,1,0,0,40,31~39,0.0
28,2~4,153869~160731,1~11,5~9,2,3,0,2~4,1,0,0,40,31~39,1.0
27~28,4,165412~179191,11,9,2,3,0,4,1,0,0,35~40,39,1.0
27~28,4,165412~179191,11,9,2,3,0,4,1,0,0,35~40,39,1.0
27~28,4,165412~179191,11,9,2,3,0,4,1,0,0,35~40,39,0.0
27~28,4,165412~179191,11,9,2,3,0,4,1,0,0,35~40,39,1.0
29~30,2~4,29974~55390,0~11,6~9,2,3,0,4,1,0,0,40,39,1.0
29~30,2~4,29974~55390,0~11,6~9,2,3,0,4,1,0,0,40,39,1.0
29~30,2~4,29974~55390,0~11,6~9,2,3,0,4,1,0,0,40,39,1.0
29~30,2~4,29974~55390,0~11,6~9,2,3,0,4,1,0,0,40,39,1.0
29~30,2~4,29974~55390,0~11,6~9,2,3,0,4,1,0,0,40,39,0.0
31~32,4,22201~41210,11,9,2,1~3,0,0~4,1,0,0,20~40,39,0.0
31~32,4,22201~41210,11,9,2,1~3,0,0~4,1,0,0,20~40,39,1.0
31~32,4,22201~41210,11,9,2,1~3,0,0~4,1,0,0,20~40,39,1.0
